"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"ONDER_CDH1_TARGETS_2_DN",5.83289207860196e-05,0.0311525429693756,0.557332238758646,-0.911179649947409,-1.28723040605462,473,"KLK5,KRT81,SERPINB7,SERPINB2,MMP10,PTPRZ1,CRCT1,SPRR2A,FGFBP1,LAMA3,IL36G,CSF2,TAGLN3,L1CAM,CEACAM6,ZBED2,KLK7,MMP1,CSF3,SLC6A15,SERPINA1,MIA,SAA1,CCL20,SPRR1A,ALDH1A3,TFPI2,LCN2,MCOLN3,ATP12A,DSCAM,KRT15,IL13RA2,KLK10,CNTNAP2,SLC5A1,DSC2,PI3,MMP9,SPRR1B,DSC3,EREG,DSG3,SCEL,CXCL3,IL1B,IL1A,MOB3B,SEMA3B,ITGA2,CST6,SLC35G2,DUSP10,SNCA,G0S2,NRG1,CXCL2,ARAP2,TNFRSF6B,SLPI,ICAM1,HPSE,XDH,IRX4,CAMK2B,F3,SIRPA,LAMC2,CDCP1,TSPAN1,LYN,HBEGF,KRT14,PTGS2,IL1R2,DIPK1A,PTHLH,GPM6B,BDKRB2,BIRC3,CXCL1,KRT6B,DSP,SLC2A3,CWH43,P3H2,PCDH7,AMPD3,DAPP1,CXCL8,CD83,SERPINB13,TNFAIP3,S100A8,CYP1A1,NAV3,IER3,CSTA,MALL,SLC2A9,KLK8,FST,IFIH1,ADGRE2,S100A2,IL1RAP,NRCAM,DDX60,CD44,RIMS3"
"REACTOME_CHROMATIN_MODIFYING_ENZYMES",8.41714560160522e-07,0.0038596760682533,0.659444398037935,0.800592069430221,1.74449012826931,272,"H2AC17,H3C8,PADI4,H2BC15,H3C10,H2AC18,H2BC8,H2BC5,H4C8,H3C13,H2AC6,H2AC8,KANSL3,H4C4,H3C6,SMYD3,PAX3,H2AC25,H3C4,PRDM9,SMARCB1,SAP30,H4C12,H2BC4,EHMT2,USP22,H2BC9,H2BC11,H4C16,H4C1,TBL1X,H2AJ,H2AX,PRMT1,MRGBP,MBIP,VPS72,H2BC10,TBL1XR1,JADE2,H4C14,H4C15,KANSL2,H2BC21,CHD3,H2AC11,HMG20B,BRD8,H3C15,H2BC12,SGF29,TAF9,EED,H2BC13,JADE1"
"REACTOME_DNA_REPLICATION_PRE_INITIATION",8.60034628417343e-06,0.0110772460140154,0.593325476396405,0.856866557578883,1.75351339931032,159,"H3C8,H2BC15,H3C10,H2AC18,H2BC8,H2BC5,H4C8,H3C13,H2AC6,H2AC8,H4C4,H3C6,H3C4,H4C12,CDC45,H2BC4,H2BC9,H2BC11,H4C16,MCM7,H4C1,H2AJ,H2AX,PSMD4,PSMA4,H2BC10,H4C14,H4C15,H2BC21,PSMD9,H3C15,H2BC12,PSMB4,ORC6,H2BC13"
"REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION",2.24748218260091e-06,0.0038596760682533,0.627256739718528,0.84155785831847,1.7321485513139,187,"H3C8,POLR2K,H2BC15,H3C10,H2AC18,H2BC8,H2BC5,H4C8,H3C13,H2AC6,H2AC8,KANSL3,H4C4,DNMT3B,H3C6,BOD1,H3C4,SAP30,H4C12,H2BC4,EHMT2,H2BC9,H2BC11,H4C16,POLR1C,H4C1,H2AJ,POLR1H,H2AX,MBIP,H2BC10,H4C14,H4C15,KANSL2,H2BC21,POLR2F,CHD3,H3C15,H2BC12,SGF29,EED,H2BC13,NCOA6,UBTF,H3C11"
"REACTOME_HATS_ACETYLATE_HISTONES",2.05322551165533e-05,0.0211564356720966,0.575610261071129,0.869595906904521,1.77631650164547,142,"H2AC17,H3C8,H2BC15,H3C10,H2AC18,H2BC8,H2BC5,H4C8,H3C13,H2AC6,H2AC8,KANSL3,H4C4,H3C6,PAX3,H2AC25,H3C4,H4C12,H2BC4,USP22,H2BC9,H2BC11,H4C16,H4C1,MRGBP,MBIP,VPS72,H2BC10,JADE2,H4C14,H4C15,KANSL2,H2BC21,H2AC11,BRD8,H3C15,H2BC12,SGF29,TAF9,H2BC13,JADE1"
"REACTOME_HCMV_LATE_EVENTS",3.38139372184895e-05,0.0290349007582763,0.557332238758646,0.882500427154585,1.75469835681108,116,"H2AC17,H3C8,H2BC15,H3C10,H2AC18,H2BC8,H2BC5,H4C8,H3C13,H2AC6,H2AC8,H4C4,H3C6,H2AC25,H3C4,H4C12,VPS37D,H2BC4,H2BC9,H2BC11,H4C16,H4C1,H2BC10,H4C14,H4C15,H2BC21,H2AC11"
"REACTOME_HDACS_DEACETYLATE_HISTONES",6.04668924095024e-05,0.0311525429693756,0.557332238758646,0.898923295138218,1.69902807061074,94,"H2AC17,H3C8,H2BC15,H3C10,H2AC18,H2BC8,H2BC5,H4C8,H3C13,H2AC6,H2AC8,H4C4,H3C6,H2AC25,H3C4,SAP30,H4C12,H2BC4,H2BC9,H2BC11,H4C16,H4C1,TBL1X,H2BC10,TBL1XR1,H4C14,H4C15,H2BC21,CHD3,H2AC11,HMG20B,H3C15,H2BC12"
"REACTOME_KERATINIZATION",1.55485559512771e-06,0.0038596760682533,0.643551836150722,-0.957536451781428,-1.35736974604436,217,"KLK5,KRT81,KRT1,SPRR2G,SPRR2E,TGM1,SPRR2A,KRT6C,DSG4,DSC1,SPRR2D,RPTN,LCE1F,KRT31,SPRR3,KRT24,SPRR2F,CASP14,KRTAP1-1,SPRR2B,KRT38,SPRR1A,KRT34,KRT85,CDSN,KRT79,KRT15,LORICRIN,KRT83,KRT75,KRT82,KRTAP2-3,KRT39,DSC2,PI3,SPRR1B,KRT36,KLK12,DSC3,DSG1,TCHH,LIPN,KRTAP3-1,DSG3,KRT4,KRT23,KRT40,LIPM,LCE3E,KRTAP5-8,LIPK,KRT84,KRT77,KRT71,LCE3D,KRT14,SPINK5,KRT6B,DSP"
"REACTOME_MRNA_SPLICING",5.99541011425961e-05,0.0311525429693756,0.557332238758646,0.788896485375042,1.6198843440748,211,"POLR2K,SNRNP25,PLRG1,PDCD7,SNRPD3,DDX39B,PPIL2,LSM2,POLR2F,BUD31,SNRPA,LSM7,CDC5L,SNRPD2,BUD13,RNF113A,LSM4,SNRPA1,POLR2C,HNRNPF,PQBP1,RBM17,RBM22,SF3B6,POLR2H,ZMAT2,HNRNPM,U2AF2,DDX41,SF3A2,RBM10,POLR2I,HNRNPA1,POLR2D,POLR2B,UPF3B,PRCC,HNRNPA3,SNRNP70,GPKOW,SRSF12,HNRNPR,CRNKL1,PTBP1,RBMX,SNRPG,POLR2J,ZMAT5"
"REACTOME_NEUTROPHIL_DEGRANULATION",9.22135708383678e-05,0.0431894833599337,0.538434096309916,-0.906302792532733,-1.28078699295628,476,"PIGR,KRT1,SIGLEC5,CD177,HP,OLFM4,PPBP,TTR,DSC1,CRISP3,CEACAM6,CDA,SERPINA1,AHSG,FCGR3B,CD36,AOC1,SERPINB12,OLR1,MGAM,LCN2,SELL,VNN1,ORM2,PRSS3,ORM1,ANPEP,MMP9,DSG1,CHIT1,FLG2,SIGLEC14,CXCR2,MCEMP1,FOLR3,TCN1,PRSS2,FPR2,CR1,CXCR1,CLEC12A,SLPI,HPSE,SIRPA,ITGAM,ABCA13,HSPA6,CALML5,SLCO4C1,LAMP2,SERPINB10,ATP8B4,MMP8,ATP11A,LTF,RAB44,GPR84,CXCL1,MPO,DSP,DEFA1B,SLC2A3,CD14,LYZ,MNDA,AMPD3,CFP,CD33,CLEC5A,CMTM6,MANBA,C6orf120,S100A8,CAB39,ACP3,PLAUR,HGSNAT,DNASE1L1,BPI,RETN,FCGR2A,CD44,ELANE,PLD1,SNAP25,CHI3L1,SLC44A2,SERPINA3,TBC1D10C,PLAU,GAA,HBB,RAP2C,AGA,PTPRC,RNASE2,MME,ITGAX,LAMP1,FCN1,CTSA,GOLGA7,UNC13D,PRG2,RNASE3,SIRPB1,CTSZ,B2M,PTX3,FPR1"
